time,S,    I    ,    R    ,i rate per Timestep
0,4000,0,0,0
0.02,3995,5,0,0
0.04,3995,5,0,0
0.06,3995,5,0,0
0.08,3995,5,0,0
0.1,3995,5,0,0
0.12,3995,5,0,0
0.14,3995,5,0,0
0.16,3995,5,0,0
0.18,3995,5,0,0
0.2,3995,5,0,0
0.22,3995,5,0,0
0.24,3995,5,0,0
0.26,3995,5,0,0
0.28,3995,5,0,0
0.3,3995,5,0,0
0.32,3995,5,0,0
0.34,3995,5,0,0
0.36,3995,5,0,0
0.38,3995,5,0,0
0.4,3995,5,0,0
0.42,3995,5,0,0
0.44,3995,5,0,0
0.46,3995,5,0,0
0.48,3995,5,0,0
0.5,3995,5,0,0
0.52,3995,5,0,0
0.54,3995,5,0,0
0.56,3995,5,0,0
0.58,3995,5,0,0
0.6,3995,5,0,0
0.62,3995,5,0,0
0.64,3995,5,0,0
0.66,3995,5,0,0
0.68,3995,5,0,0
0.7,3995,5,0,0
0.72,3995,5,0,0
0.74,3995,5,0,0
0.76,3995,5,0,0
0.78,3995,5,0,0
0.8,3995,5,0,0
0.82,3995,5,0,0
0.84,3995,5,0,0
0.86,3995,5,0,0
0.88,3995,5,0,0
0.9,3995,5,0,0
0.92,3995,5,0,0
0.94,3995,5,0,0
0.96,3995,5,0,0
0.98,3995,5,0,1
1,3994,6,0,0
1.02,3994,6,0,0
1.04,3994,6,0,0
1.06,3994,6,0,0
1.08,3994,6,0,0
1.1,3994,6,0,0
1.12,3994,6,0,0
1.14,3994,6,0,0
1.16,3994,6,0,0
1.18,3994,6,0,0
1.2,3994,6,0,0
1.22,3994,6,0,0
1.24,3994,6,0,2
1.26,3992,8,0,0
1.28,3992,8,0,1
1.3,3991,9,0,0
1.32,3991,9,0,1
1.34,3990,10,0,0
1.36,3990,10,0,0
1.38,3990,10,0,0
1.4,3990,10,0,0
1.42,3990,10,0,2
1.44,3988,12,0,1
1.46,3987,13,0,1
1.48,3986,14,0,0
1.5,3986,14,0,0
1.52,3986,14,0,0
1.54,3986,14,0,0
1.56,3986,14,0,1
1.58,3985,15,0,0
1.6,3985,15,0,0
1.62,3985,15,0,0
1.64,3985,15,0,0
1.66,3985,15,0,0
1.68,3985,15,0,0
1.7,3985,15,0,0
1.72,3985,15,0,0
1.74,3985,15,0,0
1.76,3985,15,0,1
1.78,3984,16,0,0
1.8,3984,16,0,0
1.82,3984,16,0,0
1.84,3984,16,0,0
1.86,3984,16,0,0
1.88,3984,16,0,0
1.9,3984,16,0,2
1.92,3982,18,0,1
1.94,3981,19,0,0
1.96,3981,19,0,0
1.98,3981,19,0,0
2,3981,19,0,0
2.02,3981,19,0,0
2.04,3981,19,0,0
2.06,3981,19,0,0
2.08,3981,19,0,0
2.1,3981,19,0,1
2.12,3980,20,0,0
2.14,3980,20,0,0
2.16,3980,20,0,0
2.18,3980,20,0,0
2.2,3980,20,0,0
2.22,3980,20,0,0
2.24,3980,20,0,0
2.26,3980,20,0,1
2.28,3979,21,0,0
2.3,3979,21,0,0
2.32,3979,21,0,0
2.34,3979,21,0,0
2.36,3979,21,0,0
2.38,3979,21,0,0
2.4,3979,21,0,0
2.42,3979,21,0,0
2.44,3979,21,0,0
2.46,3979,21,0,1
2.48,3978,22,0,0
2.5,3978,22,0,0
2.52,3978,22,0,0
2.54,3978,22,0,0
2.56,3978,22,0,0
2.58,3978,22,0,0
2.6,3978,22,0,0
2.62,3978,22,0,0
2.64,3978,22,0,1
2.66,3977,23,0,1
2.68,3976,24,0,1
2.7,3975,25,0,0
2.72,3975,25,0,0
2.74,3975,25,0,0
2.76,3975,25,0,0
2.78,3975,25,0,0
2.8,3975,25,0,0
2.82,3975,25,0,0
2.84,3975,25,0,0
2.86,3975,25,0,0
2.88,3975,25,0,0
2.9,3975,25,0,0
2.92,3975,25,0,0
2.94,3975,25,0,0
2.96,3975,25,0,0
2.98,3975,25,0,0
3,3975,25,0,0
3.02,3975,25,0,0
3.04,3975,25,0,0
3.06,3975,25,0,0
3.08,3975,25,0,0
3.1,3975,25,0,0
3.12,3975,25,0,0
3.14,3975,25,0,0
3.16,3975,25,0,0
3.18,3975,25,0,0
3.2,3975,25,0,0
3.22,3975,25,0,0
3.24,3975,25,0,0
3.26,3975,25,0,0
3.28,3975,25,0,0
3.3,3975,25,0,1
3.32,3974,26,0,0
3.34,3974,26,0,0
3.36,3974,26,0,0
3.38,3974,26,0,0
3.4,3974,26,0,0
3.42,3974,26,0,0
3.44,3974,26,0,0
3.46,3974,26,0,0
3.48,3974,26,0,0
3.5,3974,26,0,0
3.52,3974,26,0,0
3.54,3974,26,0,0
3.56,3974,26,0,0
3.58,3974,26,0,0
3.6,3974,26,0,1
3.62,3973,27,0,0
3.64,3973,27,0,0
3.66,3973,27,0,0
3.68,3973,27,0,0
3.7,3973,27,0,0
3.72,3973,27,0,0
3.74,3973,27,0,0
3.76,3973,27,0,0
3.78,3973,27,0,0
3.8,3973,27,0,0
3.82,3973,27,0,0
3.84,3973,27,0,0
3.86,3973,27,0,0
3.88,3973,27,0,0
3.9,3973,27,0,0
3.92,3973,27,0,0
3.94,3973,27,0,0
3.96,3973,27,0,0
3.98,3973,27,0,0
4,3973,27,0,0
4.02,3973,27,0,0
